background_id,latitude,longitude,distance_to_road_m,distance_to_river_m,nearest_road_type,nearest_road_name,nearest_road_osm_id,nearest_waterway_type,nearest_waterway_name,nearest_waterway_osm_id,road_search_radius_m,river_search_radius_m,road_extraction_ok,river_extraction_ok,roads_rivers_extraction_ok,osm_source,osm_snapshot_timestamp,distance_method
BG_0001,26.73160475933328,94.35249548602104,662.9094096861202,6344.69630474379,unclassified,,1205395688.0,river,Bhogdoi River,225886365.0,5000.0,15000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-25T15:29:35Z,local equirectangular point-to-polyline
BG_0002,26.074443020648907,91.08021471117132,1556.9718782531804,1023.3420877097066,tertiary,,766087016.0,river,Kulsi,169974162.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-05-06T03:25:00Z,local equirectangular point-to-polyline
BG_0003,26.22626917638928,93.80533817323608,1522.5578507872767,423.1989996286454,trunk,,44769772.0,river,Deopani Nadi,155250505.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T18:14:31Z,local equirectangular point-to-polyline
BG_0004,26.39626717226049,91.09160596119044,290.80153878269215,84.87438585850431,tertiary,,610771268.0,river,Bhelengi River,226704970.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T21:10:07Z,local equirectangular point-to-polyline
BG_0005,23.74242823900069,93.2072276337944,671.5772945310226,900.4721813984635,track,,1331111048.0,river,,1310856051.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T18:24:41Z,local equirectangular point-to-polyline
BG_0006,27.180949665961982,88.09756023583462,316.1836346441574,1681.13761858484,unclassified,,1234554335.0,stream,,247992304.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T18:26:51Z,local equirectangular point-to-polyline
BG_0007,26.935001186721536,94.79899006875554,534.3629554185228,4755.421820689848,primary,,155294100.0,river,DIKHOW NODI,225961220.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-25T16:41:50Z,local equirectangular point-to-polyline
BG_0008,26.253496769829923,92.09062865100056,51.2532207006746,675.7546492732968,tertiary,,968963644.0,river,,178119213.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-06-01T08:52:28Z,local equirectangular point-to-polyline
BG_0009,23.537003359726715,93.2350407982325,14.904761541692046,4010.29233213879,unclassified,,1314296984.0,river,Tuipui,203588167.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T18:36:01Z,local equirectangular point-to-polyline
BG_0010,26.47245725899581,93.79365367986004,1007.4998619200692,1681.6324366723422,unclassified,,1314227365.0,river,Kaliyani,329689588.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-24T11:04:51Z,local equirectangular point-to-polyline
BG_0011,26.76196049829377,93.218067234653,937.6096999244528,2661.6155836253247,unclassified,,605053864.0,river,,1346871354.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-05-31T22:37:44Z,local equirectangular point-to-polyline
BG_0012,27.11245476550876,95.02473417732853,762.8350770750881,3570.7945470171817,service,,1496768067.0,river,Disang River,225961181.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T21:10:07Z,local equirectangular point-to-polyline
