event_id,state,district_or_region,locality,latitude,longitude,location_precision,location_accuracy_m,event_date,year,month,monsoon_phase,landslide_type,trigger_factor,record_type,reliability_score,fatalities,is_fatal,severity_class,injuries,description,source_url,data_source,dem_tile_id,dem_source,terrain_extraction_ok,elevation_m,slope_deg,aspect_deg,curvature_1_per_m,dem_pixel_x_m,dem_pixel_y_m,fine_scale_terrain_reliable,rainfall_source,rainfall_extraction_ok,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,rainfall_daily_values_json,worldcover_item_id,modis_item_id,ndvi_composite_midpoint,ndvi_date_distance_days,land_cover_code,land_cover,land_cover_source,land_cover_reference_year,land_cover_year_gap,ndvi_raw,ndvi,ndvi_pixel_reliability,ndvi_quality,ndvi_quality_ok,ndvi_source,land_cover_extraction_ok,ndvi_extraction_ok,ndvi_model_value,soil_moisture_source,soil_moisture_model,soil_moisture_extraction_ok,soil_moisture_surface_m3_m3,soil_moisture_7_28cm_m3_m3,soil_moisture_28_100cm_m3_m3,soil_moisture_0_100cm_m3_m3,soil_moisture_surface_3d_mean_m3_m3,soil_moisture_surface_7d_mean_m3_m3,soil_moisture_surface_anomaly_vs_7d,soil_moisture_surface_7d_values_json,distance_to_road_m,distance_to_river_m,nearest_road_type,nearest_road_name,nearest_road_osm_id,nearest_waterway_type,nearest_waterway_name,nearest_waterway_osm_id,road_search_radius_m,river_search_radius_m,road_extraction_ok,river_extraction_ok,roads_rivers_extraction_ok,osm_source,osm_snapshot_timestamp,distance_method
1048547,Assam,Assam,Guwahati,26.13140438,91.93086808,Medium (2-25km),15925,2004-07-15,2004,7,Monsoon (Jun-Sep),ND,rainfall (T),event,9,5,1,Moderate (3-5),,The incident occurred around 0200 hours following incessant rains which flooded Guwahati. Unauthorized residential colonies bore the brunt of the landslides. At least eight houses were destroyed in the landslide,http://www.webindia123.com/news/m_details.asp?newscode=61739&catcode=ENG3&subcatcode=,UGLC,Copernicus_DSM_COG_10_N26_00_E091_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,123.35052490234376,11.829864954977326,243.66726921612684,-0.0043176456475084,27.7615476589272,30.715,False,NASA POWER Daily API / PRECTOTCORR,True,21.19,86.74,174.81,"{""2004-07-09"": 27.65, ""2004-07-10"": 38.54, ""2004-07-11"": 16.95, ""2004-07-12"": 4.93, ""2004-07-13"": 3.41, ""2004-07-14"": 62.14, ""2004-07-15"": 21.19}",ESA_WorldCover_10m_2021_v200_N24E090,MOD13Q1.A2004193.h25v06.061.2020196084503,2004-07-18T23:59:59.500000+00:00,3.0,10.0,Tree cover,ESA WorldCover 2021 v200,2021,17,,,,,False,NASA MODIS MOD13Q1/MYD13Q1 v6.1 16-day 250m,True,False,,ERA5-Land via Open-Meteo Historical Weather API,era5_land,True,0.466,0.496,0.48,0.482,0.4803333333333333,0.4781428571428571,-0.0121428571428571,"{""2004-07-09"": 0.476, ""2004-07-10"": 0.493, ""2004-07-11"": 0.465, ""2004-07-12"": 0.472, ""2004-07-13"": 0.486, ""2004-07-14"": 0.489, ""2004-07-15"": 0.466}",163.3712012231149,4621.513730450542,residential,,1137205462.0,river,Digaru River,120376272.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-03T18:25:21Z,local equirectangular point-to-polyline
1048389,Assam,Assam,Santipur,26.16833375,91.72831667,High (<2km),362,2004-07-15,2004,7,Monsoon (Jun-Sep),ND,rainfall (T),event,5,1,1,Minor (1-2),,ND,http://www.rediff.com/news/2004/jul/15assam.htm,UGLC,Copernicus_DSM_COG_10_N26_00_E091_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,53.3612060546875,2.133673026873156,270.4044391215658,0.0006252291668405,27.75276384082293,30.715,True,NASA POWER Daily API / PRECTOTCORR,True,21.19,86.74,174.81,"{""2004-07-09"": 27.65, ""2004-07-10"": 38.54, ""2004-07-11"": 16.95, ""2004-07-12"": 4.93, ""2004-07-13"": 3.41, ""2004-07-14"": 62.14, ""2004-07-15"": 21.19}",ESA_WorldCover_10m_2021_v200_N24E090,MOD13Q1.A2004193.h25v06.061.2020196084503,2004-07-18T23:59:59.500000+00:00,3.0,50.0,Built-up,ESA WorldCover 2021 v200,2021,17,,,,,False,NASA MODIS MOD13Q1/MYD13Q1 v6.1 16-day 250m,True,False,,ERA5-Land via Open-Meteo Historical Weather API,era5_land,True,0.48,0.498,0.475,0.48,0.486,0.4838571428571428,-0.0038571428571428,"{""2004-07-09"": 0.479, ""2004-07-10"": 0.478, ""2004-07-11"": 0.489, ""2004-07-12"": 0.483, ""2004-07-13"": 0.496, ""2004-07-14"": 0.482, ""2004-07-15"": 0.48}",46.764808154570346,287.4306830186603,residential,,507819498.0,river,,497520987.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-03T18:25:21Z,local equirectangular point-to-polyline
1048386,Assam,Assam,Fatasil Ambari,26.16175948,91.72188533,High (<2km),796,2004-07-15,2004,7,Monsoon (Jun-Sep),ND,rainfall (T),event,7,3,1,Moderate (3-5),,The incident occurred around 0200 hours following incessant rains which flooded Guwahati. Unauthorized residential colonies bore the brunt of the landslides.,http://www.webindia123.com/news/m_details.asp?newscode=61739&catcode=ENG3&subcatcode=,UGLC,Copernicus_DSM_COG_10_N26_00_E091_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,139.72340393066406,33.73951893104046,313.9465760564516,0.0005809520748725,27.75432840440592,30.715,True,NASA POWER Daily API / PRECTOTCORR,True,21.19,86.74,174.81,"{""2004-07-09"": 27.65, ""2004-07-10"": 38.54, ""2004-07-11"": 16.95, ""2004-07-12"": 4.93, ""2004-07-13"": 3.41, ""2004-07-14"": 62.14, ""2004-07-15"": 21.19}",ESA_WorldCover_10m_2021_v200_N24E090,MOD13Q1.A2004193.h25v06.061.2020196084503,2004-07-18T23:59:59.500000+00:00,3.0,10.0,Tree cover,ESA WorldCover 2021 v200,2021,17,,,,,False,NASA MODIS MOD13Q1/MYD13Q1 v6.1 16-day 250m,True,False,,ERA5-Land via Open-Meteo Historical Weather API,era5_land,True,0.48,0.498,0.475,0.48,0.486,0.4838571428571428,-0.0038571428571428,"{""2004-07-09"": 0.479, ""2004-07-10"": 0.478, ""2004-07-11"": 0.489, ""2004-07-12"": 0.483, ""2004-07-13"": 0.496, ""2004-07-14"": 0.482, ""2004-07-15"": 0.48}",105.7795282159275,1108.1354315187587,residential,,991926390.0,river,,497520987.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-03T18:28:21Z,local equirectangular point-to-polyline
1050630,Assam,Assam,Assam,26.35735036,92.82954074,Low (>25km),158023,2004-07-15,2004,7,Monsoon (Jun-Sep),ND,rainfall (T),event,9,5,1,Moderate (3-5),,Reported death toll from 103-106 is now 15,http://www.indianexpress.com/full_story.php?content_id=51141,UGLC,Copernicus_DSM_COG_10_N26_00_E092_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,60.25774765014648,0.5257446344936983,112.13453908438538,-0.0006518796396139,27.70762493743864,30.715,False,NASA POWER Daily API / PRECTOTCORR,True,14.1,35.129999999999995,98.06,"{""2004-07-09"": 17.76, ""2004-07-10"": 18.08, ""2004-07-11"": 12.4, ""2004-07-12"": 14.69, ""2004-07-13"": 4.79, ""2004-07-14"": 16.24, ""2004-07-15"": 14.1}",ESA_WorldCover_10m_2021_v200_N24E090,MOD13Q1.A2004193.h26v06.061.2020196084437,2004-07-18T23:59:59.500000+00:00,3.0,40.0,Cropland,ESA WorldCover 2021 v200,2021,17,1092.0,0.1092,3.0,Cloudy,False,NASA MODIS MOD13Q1/MYD13Q1 v6.1 16-day 250m,True,True,,ERA5-Land via Open-Meteo Historical Weather API,era5_land,True,0.47,0.496,0.481,0.484,0.4763333333333333,0.4817142857142856,-0.0117142857142856,"{""2004-07-09"": 0.469, ""2004-07-10"": 0.493, ""2004-07-11"": 0.487, ""2004-07-12"": 0.494, ""2004-07-13"": 0.487, ""2004-07-14"": 0.472, ""2004-07-15"": 0.47}",1079.3289476120963,3961.2202182011297,unclassified,,1385819208.0,river,Kolong,329688956.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-03T18:28:21Z,local equirectangular point-to-polyline
1050635,Mizoram,Mizoram,Mizoram,23.30680933,92.83619313,Low (>25km),82247,2004-07-29,2004,7,Monsoon (Jun-Sep),ND,rainfall (T),event,9,7,1,Severe (5+),,"Seven persons, including four women and 10-month-old infant, were killed and four injured when their vehicle skidded off the road and rolled down into 300 metres-deep gorge near Serkhan village, about 45 kilometres from here, police said on Thursday.  Th","http://www.hindustantimes.com/news/181_915665,000900030003.htm",UGLC,Copernicus_DSM_COG_10_N23_00_E092_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,1142.7137451171875,20.162276430346207,132.2048955009575,-0.0067761936100739,28.39894928919289,30.715,False,NASA POWER Daily API / PRECTOTCORR,True,0.48,4.9,16.06,"{""2004-07-23"": 3.13, ""2004-07-24"": 3.46, ""2004-07-25"": 3.52, ""2004-07-26"": 1.05, ""2004-07-27"": 0.36, ""2004-07-28"": 4.06, ""2004-07-29"": 0.48}",ESA_WorldCover_10m_2021_v200_N21E090,MYD13Q1.A2004201.h26v06.061.2020196084855,2004-07-26T23:59:59.500000+00:00,3.0,10.0,Tree cover,ESA WorldCover 2021 v200,2021,17,7252.0,0.7252000000000001,3.0,Cloudy,False,NASA MODIS MOD13Q1/MYD13Q1 v6.1 16-day 250m,True,True,,ERA5-Land via Open-Meteo Historical Weather API,era5_land,True,0.424,0.424,0.418,0.42,0.4193333333333333,0.4208571428571429,0.0031428571428571,"{""2004-07-23"": 0.426, ""2004-07-24"": 0.423, ""2004-07-25"": 0.421, ""2004-07-26"": 0.418, ""2004-07-27"": 0.416, ""2004-07-28"": 0.418, ""2004-07-29"": 0.424}",224.26498601973765,1331.0725926094683,unclassified,,1071837298.0,stream,,1450318582.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-03T18:28:21Z,local equirectangular point-to-polyline
938324,Sikkim,Sikkim,Namchi,27.16551929,88.36456702,High (<2km),1454,2004-09-02,2004,9,Monsoon (Jun-Sep),ND,rainfall (T),event,9,5,1,Moderate (3-5),,"""""GFLD"", locality: 'Namchi',"" description: """"""""Five persons were killed in landslides triggered by heavy rains in Sikkim's south district"","" a senior police officer said.""""""""""""","http://www.hindustantimes.com/news/181_985927"",000900030011.htm",UGLC,Copernicus_DSM_COG_10_N27_00_E088_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,1435.585693359375,15.78688478997055,116.8725115786749,0.0007655628792585,27.511231921598583,30.715,True,NASA POWER Daily API / PRECTOTCORR,True,16.38,40.57,134.07,"{""2004-08-27"": 39.51, ""2004-08-28"": 21.96, ""2004-08-29"": 13.06, ""2004-08-30"": 18.97, ""2004-08-31"": 15.54, ""2004-09-01"": 8.65, ""2004-09-02"": 16.38}",ESA_WorldCover_10m_2021_v200_N27E087,MOD13Q1.A2004241.h25v06.061.2020200073808,2004-09-04T23:59:59.500000+00:00,2.0,50.0,Built-up,ESA WorldCover 2021 v200,2021,17,3345.0,0.3345,3.0,Cloudy,False,NASA MODIS MOD13Q1/MYD13Q1 v6.1 16-day 250m,True,True,,ERA5-Land via Open-Meteo Historical Weather API,era5_land,True,0.426,0.429,0.429,0.429,0.4276666666666666,0.4264285714285715,-0.0004285714285715,"{""2004-08-27"": 0.427, ""2004-08-28"": 0.422, ""2004-08-29"": 0.424, ""2004-08-30"": 0.429, ""2004-08-31"": 0.428, ""2004-09-01"": 0.429, ""2004-09-02"": 0.426}",6.931340849821848,527.6144404346229,residential,,478555228.0,canal,,1266786969.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-05-31T22:37:44Z,local equirectangular point-to-polyline
1048548,Assam,Assam,Guwahati,26.13140438,91.93086808,Medium (2-25km),15925,2004-10-07,2004,10,Post-monsoon (Oct-Nov),ND,rainfall (T),event,9,7,1,Severe (5+),,"""""GFLD"", locality: 'Guwahati',"" description: 'Seven people were buried to death Thursday in a massive landslide here following the rains. """"""""At least six people were feared killed in a landslide at Jyotikuchi hillock near Kalapahari"","" under Dispur Police Station early today as rains continued in Assam'""""",http://www.keralanext.com/news/?id=53975,UGLC,Copernicus_DSM_COG_10_N26_00_E091_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,123.35052490234376,11.829864954977326,243.66726921612684,-0.0043176456475084,27.7615476589272,30.715,False,NASA POWER Daily API / PRECTOTCORR,True,121.78,229.02,265.58000000000004,"{""2004-10-01"": 0.16, ""2004-10-02"": 7.58, ""2004-10-03"": 14.52, ""2004-10-04"": 14.3, ""2004-10-05"": 18.73, ""2004-10-06"": 88.51, ""2004-10-07"": 121.78}",ESA_WorldCover_10m_2021_v200_N24E090,MOD13Q1.A2004273.h25v06.061.2020206215624,2004-10-06T23:59:59.500000+00:00,1.0,10.0,Tree cover,ESA WorldCover 2021 v200,2021,17,,,,,False,NASA MODIS MOD13Q1/MYD13Q1 v6.1 16-day 250m,True,False,,ERA5-Land via Open-Meteo Historical Weather API,era5_land,True,0.487,0.488,0.512,0.506,0.4846666666666666,0.4801428571428571,0.0068571428571428,"{""2004-10-01"": 0.462, ""2004-10-02"": 0.475, ""2004-10-03"": 0.487, ""2004-10-04"": 0.483, ""2004-10-05"": 0.497, ""2004-10-06"": 0.47, ""2004-10-07"": 0.487}",163.3712012231149,4621.513730450542,residential,,1137205462.0,river,Digaru River,120376272.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-03T18:25:21Z,local equirectangular point-to-polyline
1048377,Assam,Assam,Dhirenpara,26.13088435,91.71073619,High (<2km),1844,2004-10-08,2004,10,Post-monsoon (Oct-Nov),ND,rainfall (T),event,9,6,1,Severe (5+),,Landslides killed six persons and injured two at Dhirenpara in Fatashil Ambari,http://www.123bharath.com/news/index.php?action=fullnews&id=27038,UGLC,Copernicus_DSM_COG_10_N26_00_E091_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,130.03472900390625,4.403079655411881,214.3988785124912,0.0058785430107347,27.7616712680834,30.715,True,NASA POWER Daily API / PRECTOTCORR,True,24.2,234.49,289.61999999999995,"{""2004-10-02"": 7.58, ""2004-10-03"": 14.52, ""2004-10-04"": 14.3, ""2004-10-05"": 18.73, ""2004-10-06"": 88.51, ""2004-10-07"": 121.78, ""2004-10-08"": 24.2}",ESA_WorldCover_10m_2021_v200_N24E090,MOD13Q1.A2004273.h25v06.061.2020206215624,2004-10-06T23:59:59.500000+00:00,2.0,10.0,Tree cover,ESA WorldCover 2021 v200,2021,17,,,,,False,NASA MODIS MOD13Q1/MYD13Q1 v6.1 16-day 250m,True,False,,ERA5-Land via Open-Meteo Historical Weather API,era5_land,True,0.482,0.495,0.497,0.495,0.481,0.4847142857142857,-0.0027142857142857,"{""2004-10-02"": 0.489, ""2004-10-03"": 0.49, ""2004-10-04"": 0.489, ""2004-10-05"": 0.482, ""2004-10-06"": 0.472, ""2004-10-07"": 0.489, ""2004-10-08"": 0.482}",55.09069599142577,1574.4811501945826,unclassified,,585149422.0,drain,,44644664.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-03T18:30:19Z,local equirectangular point-to-polyline
1050658,Mizoram,Mizoram,Aizawl,23.83655634,92.88807365,Low (>25km),33154,2005-08-01,2005,8,Monsoon (Jun-Sep),ND,rainfall (T),event,9,1,1,Minor (1-2),,"Zuangtui locality, Aizawl",http://www.newkerala.com/news.php?action=fullnews&id=10909,UGLC,Copernicus_DSM_COG_10_N23_00_E092_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,405.3147583007813,14.233003191094854,116.4744020008904,0.0037531504729458,28.28461876584697,30.715,False,NASA POWER Daily API / PRECTOTCORR,True,0.21,1.95,16.98,"{""2005-07-26"": 7.11, ""2005-07-27"": 6.37, ""2005-07-28"": 0.77, ""2005-07-29"": 0.78, ""2005-07-30"": 1.1, ""2005-07-31"": 0.64, ""2005-08-01"": 0.21}",ESA_WorldCover_10m_2021_v200_N21E090,MOD13Q1.A2005209.h26v06.061.2020241220353,2005-08-04T23:59:59.500000+00:00,3.0,10.0,Tree cover,ESA WorldCover 2021 v200,2021,16,8256.0,0.8256,1.0,Marginal data,True,NASA MODIS MOD13Q1/MYD13Q1 v6.1 16-day 250m,True,True,0.8256,ERA5-Land via Open-Meteo Historical Weather API,era5_land,True,0.422,0.422,0.412,0.415,0.4196666666666666,0.4208571428571428,0.0011428571428571,"{""2005-07-26"": 0.424, ""2005-07-27"": 0.423, ""2005-07-28"": 0.421, ""2005-07-29"": 0.419, ""2005-07-30"": 0.421, ""2005-07-31"": 0.416, ""2005-08-01"": 0.422}",1904.017513343413,3732.7141554673826,residential,,1061020049.0,river,Twnni,310441888.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-03T18:31:21Z,local equirectangular point-to-polyline
1048549,Assam,Assam,Guwahati,26.13140438,91.93086808,Medium (2-25km),15925,2005-08-19,2005,8,Monsoon (Jun-Sep),ND,rainfall (T),event,9,2,1,Minor (1-2),,At least two people were killed and four injured in Guwahati in a landslide in the wee hours on Friday.  Landslides are a common phenomenon during monsoon season when heavy rains lash the region.  Local administration said that they had already warned th,ND,UGLC,Copernicus_DSM_COG_10_N26_00_E091_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,123.35052490234376,11.829864954977326,243.66726921612684,-0.0043176456475084,27.7615476589272,30.715,False,NASA POWER Daily API / PRECTOTCORR,True,63.62,179.61999999999998,231.20999999999995,"{""2005-08-13"": 13.29, ""2005-08-14"": 23.44, ""2005-08-15"": 13.94, ""2005-08-16"": 0.92, ""2005-08-17"": 1.26, ""2005-08-18"": 114.74, ""2005-08-19"": 63.62}",ESA_WorldCover_10m_2021_v200_N24E090,MOD13Q1.A2005225.h25v06.061.2020244142826,2005-08-20T23:59:59.500000+00:00,1.0,10.0,Tree cover,ESA WorldCover 2021 v200,2021,16,,,,,False,NASA MODIS MOD13Q1/MYD13Q1 v6.1 16-day 250m,True,False,,ERA5-Land via Open-Meteo Historical Weather API,era5_land,True,0.467,0.49,0.494,0.491,0.4813333333333333,0.4674285714285714,-0.0004285714285713,"{""2005-08-13"": 0.418, ""2005-08-14"": 0.469, ""2005-08-15"": 0.473, ""2005-08-16"": 0.468, ""2005-08-17"": 0.476, ""2005-08-18"": 0.501, ""2005-08-19"": 0.467}",163.3712012231149,4621.513730450542,residential,,1137205462.0,river,Digaru River,120376272.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-03T18:25:21Z,local equirectangular point-to-polyline
