feature_set,validation_scheme,n_features,roc_auc,pr_auc
all_features,spatial,20,0.8072347255805623,0.811211835863295
all_features,pair,20,0.8600450534234401,0.8708953028223537
without_roads_rivers,spatial,18,0.6804375830973883,0.7144451183321571
without_roads_rivers,pair,18,0.7928989191311715,0.8112549420209866
terrain_landcover_only,spatial,6,0.679886470884053,0.7113159884790544
terrain_landcover_only,pair,6,0.7541281749230165,0.7757928153807802
rainfall_only,spatial,3,0.5181901474914061,0.548130158440473
rainfall_only,pair,3,0.6697322283533456,0.6896411152840761
soil_only,spatial,7,0.4786685128925813,0.478471945536399
soil_only,pair,7,0.5959727475010506,0.6081449250424285
roads_rivers_only,spatial,2,0.8021920488285421,0.7636520995044902
roads_rivers_only,pair,2,0.8284456568913139,0.7907820466361941
rainfall_plus_soil,spatial,10,0.5174805905167366,0.5470850358649876
rainfall_plus_soil,pair,10,0.6516281921452731,0.6727262358167541
terrain_plus_vegetation,spatial,8,0.7030331838441455,0.7359281418765644
terrain_plus_vegetation,pair,8,0.7697522061710791,0.7908534469503494
