feature,class,rows,missing,missing_pct,mean,median,q25,q75,min,max,top_values
elevation_m,positive,381,0,0.0,817.3875975020601,690.4821166992188,122.10775756835938,1276.2493896484375,18.03086853027344,4007.63134765625,
elevation_m,background,381,0,0.0,1218.19506309289,558.6339111328125,106.68302154541016,1266.179931640625,13.609100341796877,7080.9453125,
slope_deg,positive,381,0,0.0,18.583883967784566,17.177408343254566,6.591679958441543,29.581734258968744,0.0,52.99269625343474,
slope_deg,background,381,0,0.0,17.9847392915373,17.799699796200382,3.9750073284056575,28.77168860046611,0.0,68.42803434027783,
aspect_sin,positive,381,1,0.26246719160104987,-0.020273490892431526,-0.031234303377290402,-0.807492597080651,0.706229945168533,-0.9999750868149944,0.9999682825647696,
aspect_sin,background,381,5,1.3123359580052494,-0.011688338910229535,0.01512056850899415,-0.7646800309339101,0.6836587121412441,-1.0,0.9999994774170164,
aspect_cos,positive,381,1,0.26246719160104987,-0.026673343890782686,-0.042947618818113695,-0.7072613536935184,0.6078313270940248,-1.0,1.0,
aspect_cos,background,381,5,1.3123359580052494,-0.043531721997918514,-0.03756491129754235,-0.7271432515138515,0.5959512326118854,-0.9999999763001745,0.9998345629649212,
curvature_1_per_m,positive,381,0,0.0,-0.0001270683693310646,0.0001063875202327,-0.0042093237321173,0.0039226688237729,-0.024504894193674,0.0212174655045367,
curvature_1_per_m,background,381,0,0.0,-0.0005387169876421422,-4.46817054279306e-05,-0.0034670183235975,0.0027508532824449,-0.041082053961471,0.0267175532051654,
rainfall_24h_mm,positive,381,0,0.0,21.34524934383202,11.42,5.24,25.86,0.0,160.51,
rainfall_24h_mm,background,381,0,0.0,17.239632545931755,10.6,4.58,22.09,0.0,153.08,
rainfall_72h_mm,positive,381,0,0.0,65.16635170603674,43.940000000000005,20.040000000000003,88.53,0.0,257.87,
rainfall_72h_mm,background,381,0,0.0,51.96259842519685,40.01,17.23,75.4,0.06,243.17,
rainfall_7d_mm,positive,381,0,0.0,119.65769028871391,102.98,53.8,163.19,0.01,428.0,
rainfall_7d_mm,background,381,0,0.0,97.22288713910761,84.83,47.44,128.68,0.1,342.94,
land_cover,positive,381,0,0.0,,,,,,,"{""Tree cover"": 240, ""Built-up"": 74, ""Grassland"": 39, ""Cropland"": 26, ""Bare / sparse vegetation"": 1, ""Permanent water bodies"": 1}"
land_cover,background,381,0,0.0,,,,,,,"{""Tree cover"": 250, ""Cropland"": 55, ""Grassland"": 25, ""Snow and ice"": 17, ""Moss and lichen"": 11, ""Bare / sparse vegetation"": 11, ""Permanent water bodies"": 9, ""Built-up"": 2, ""Herbaceous wetland"": 1}"
ndvi_model_value,positive,381,254,66.66666666666666,0.701548031496063,0.7232000000000001,0.5946,0.82715,0.2983,0.9469,
ndvi_model_value,background,381,250,65.61679790026247,0.6811801526717557,0.7906000000000001,0.5968500000000001,0.8646,-0.0634,0.9419,
ndvi_missing,positive,381,0,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,
