feature,separability_auc,positive_nonmissing,background_nonmissing,positive_mean,background_mean,positive_median,background_median,positive_min,positive_max,background_min,background_max
distance_to_road_m,0.8136344799005387,380,381,466.3410389463253,9712.900998060679,69.99019859519618,1120.5014194131404,0.089685999746297,8091.227250585504,1.1127496967504875,2753786.832169084
soil_moisture_7_28cm_m3_m3,0.5887497330550217,381,381,0.44752755905511804,0.4360708661417323,0.43,0.427,0.189,0.505,0.144,0.504
soil_moisture_surface_m3_m3,0.5751889281556342,381,381,0.44319947506561674,0.4337244094488189,0.429,0.426,0.18,0.508,0.147,0.506
soil_moisture_0_100cm_m3_m3,0.5741211482422965,381,381,0.4415354330708661,0.42729658792650915,0.429,0.427,0.206,0.509,0.143,0.511
soil_moisture_surface_3d_mean_m3_m3,0.5727812566736246,381,381,0.44327996500437444,0.43350218722659667,0.4286666666666667,0.4253333333333333,0.1723333333333333,0.502,0.1363333333333333,0.5023333333333333
rainfall_7d_mm,0.5724368115402898,381,381,119.65769028871391,97.22288713910761,102.98,84.83,0.01,428.0,0.1,342.94
soil_moisture_surface_7d_mean_m3_m3,0.5670255784956014,381,381,0.4395414323209598,0.4293352080989876,0.427,0.4238571428571429,0.1712857142857143,0.4924285714285715,0.1368571428571428,0.4904285714285714
soil_moisture_28_100cm_m3_m3,0.5655582422275955,381,381,0.4396010498687664,0.4241391076115486,0.428,0.427,0.213,0.517,0.098,0.517
ndvi_model_value,0.5627817515177016,127,131,0.701548031496063,0.6811801526717557,0.7232000000000001,0.7906000000000001,0.2983,0.9469,-0.0634,0.9419
rainfall_72h_mm,0.5541088859955497,381,381,65.16635170603674,51.96259842519685,43.940000000000005,40.01,0.0,257.87,0.06,243.17
distance_to_river_m,0.5516576875259013,380,381,1685.4597476412346,2000.8582198758113,1150.057101694439,1347.796656607344,13.72677133683401,11342.137928507882,14.052786203925493,10520.707635882767
rainfall_24h_mm,0.5221925999407555,381,381,21.34524934383202,17.239632545931755,11.42,10.6,0.0,160.51,0.0,153.08
slope_deg,0.5212247091160849,381,381,18.583883967784566,17.9847392915373,17.177408343254566,17.799699796200382,0.0,52.99269625343474,0.0,68.42803434027783
curvature_1_per_m,0.5181109251107391,381,381,-0.0001270683693310646,-0.0005387169876421422,0.0001063875202327,-4.46817054279306e-05,-0.024504894193674,0.0212174655045367,-0.041082053961471,0.0267175532051654
soil_moisture_surface_anomaly_vs_7d,0.5083872389967002,381,381,0.0036580427446569084,0.0043892013498312635,0.0015714285714285,0.0014285714285713,-0.0385714285714285,0.1498571428571428,-0.0357142857142856,0.1404285714285714
aspect_cos,0.5083496640537514,380,376,-0.026673343890782686,-0.043531721997918514,-0.042947618818113695,-0.03756491129754235,-1.0,1.0,-0.9999999763001745,0.9998345629649212
ndvi_missing,0.5052493438320209,381,381,0.6666666666666666,0.6561679790026247,1.0,1.0,0.0,1.0,0.0,1.0
elevation_m,0.5041918972726834,381,381,817.3875975020601,1218.19506309289,690.4821166992188,558.6339111328125,18.03086853027344,4007.63134765625,13.609100341796877,7080.9453125
aspect_sin,0.5015257558790593,380,376,-0.020273490892431526,-0.011688338910229535,-0.031234303377290402,0.01512056850899415,-0.9999750868149944,0.9999682825647696,-1.0,0.9999994774170164
