fold,model,train_rows,validation_rows,train_groups,validation_groups,roc_auc,pr_auc,f1,precision,recall
1,xgboost,613,149,55.0,18,0.7794011544011543,0.7437679073028561,0.7448275862068966,0.7941176470588235,0.7012987012987013
1,lightgbm,613,149,55.0,18,0.7997835497835498,0.8019818006119742,0.7464788732394366,0.8153846153846154,0.6883116883116883
1,random_forest,613,149,55.0,18,0.8295454545454546,0.8390041667798442,0.738255033557047,0.7638888888888888,0.7142857142857143
2,xgboost,608,154,58.0,15,0.7965587044534412,0.7918410415383783,0.7261146496815286,0.7037037037037037,0.75
2,lightgbm,608,154,58.0,15,0.7908232118758435,0.7882972046728881,0.7012987012987013,0.6923076923076923,0.7105263157894737
2,random_forest,608,154,58.0,15,0.8058367071524966,0.7915074230813514,0.7083333333333334,0.75,0.6710526315789473
3,xgboost,604,158,57.0,16,0.816025641025641,0.7977042001596003,0.656934306569343,0.7627118644067796,0.5769230769230769
3,lightgbm,604,158,57.0,16,0.8150641025641027,0.7965846072900153,0.6470588235294118,0.7586206896551724,0.5641025641025641
3,random_forest,604,158,57.0,16,0.8227564102564102,0.8317716589728751,0.6470588235294118,0.7586206896551724,0.5641025641025641
4,xgboost,613,149,62.0,11,0.7917117117117117,0.8140978216652452,0.7323943661971831,0.7647058823529411,0.7027027027027027
4,lightgbm,613,149,62.0,11,0.7765765765765766,0.8047219177136092,0.6861313868613139,0.746031746031746,0.6351351351351351
4,random_forest,613,149,62.0,11,0.8104504504504505,0.8359500206577436,0.706766917293233,0.7966101694915254,0.6351351351351351
5,xgboost,610,152,60.0,13,0.8111149584487535,0.8155085387965957,0.7346938775510204,0.7605633802816901,0.7105263157894737
5,lightgbm,610,152,60.0,13,0.8147506925207756,0.8246594971460334,0.726027397260274,0.7571428571428571,0.6973684210526315
5,random_forest,610,152,60.0,13,0.7991689750692521,0.8127718992063317,0.6861313868613139,0.7704918032786885,0.618421052631579
1,ensemble_equal_weight,613,149,,18,0.8124098124098124,0.8048915609062649,0.7619047619047619,0.8,0.7272727272727273
2,ensemble_equal_weight,608,154,,15,0.8006072874493927,0.7930574258169714,0.7142857142857143,0.7051282051282052,0.7236842105263158
3,ensemble_equal_weight,604,158,,16,0.8262820512820513,0.8171476215880221,0.6417910447761194,0.7678571428571429,0.5512820512820513
4,ensemble_equal_weight,613,149,,11,0.7918918918918919,0.8196975809648372,0.7142857142857143,0.7575757575757576,0.6756756756756757
5,ensemble_equal_weight,610,152,,13,0.8126731301939059,0.817725861106732,0.7222222222222222,0.7647058823529411,0.6842105263157895
