feature,class,rows,missing,missing_pct
elevation_m,positive,381,0,0.0
elevation_m,background,381,0,0.0
slope_deg,positive,381,0,0.0
slope_deg,background,381,0,0.0
aspect_sin,positive,381,1,0.262
aspect_sin,background,381,5,1.312
aspect_cos,positive,381,1,0.262
aspect_cos,background,381,5,1.312
curvature_1_per_m,positive,381,0,0.0
curvature_1_per_m,background,381,0,0.0
rainfall_24h_mm,positive,381,0,0.0
rainfall_24h_mm,background,381,0,0.0
rainfall_72h_mm,positive,381,0,0.0
rainfall_72h_mm,background,381,0,0.0
rainfall_7d_mm,positive,381,0,0.0
rainfall_7d_mm,background,381,0,0.0
land_cover,positive,381,0,0.0
land_cover,background,381,0,0.0
ndvi_model_value,positive,381,254,66.667
ndvi_model_value,background,381,250,65.617
ndvi_missing,positive,381,0,0.0
ndvi_missing,background,381,0,0.0
soil_moisture_surface_m3_m3,positive,381,0,0.0
soil_moisture_surface_m3_m3,background,381,0,0.0
soil_moisture_7_28cm_m3_m3,positive,381,0,0.0
soil_moisture_7_28cm_m3_m3,background,381,0,0.0
soil_moisture_28_100cm_m3_m3,positive,381,0,0.0
soil_moisture_28_100cm_m3_m3,background,381,0,0.0
soil_moisture_0_100cm_m3_m3,positive,381,0,0.0
soil_moisture_0_100cm_m3_m3,background,381,0,0.0
soil_moisture_surface_3d_mean_m3_m3,positive,381,0,0.0
soil_moisture_surface_3d_mean_m3_m3,background,381,0,0.0
soil_moisture_surface_7d_mean_m3_m3,positive,381,0,0.0
soil_moisture_surface_7d_mean_m3_m3,background,381,0,0.0
soil_moisture_surface_anomaly_vs_7d,positive,381,0,0.0
soil_moisture_surface_anomaly_vs_7d,background,381,0,0.0
distance_to_road_m,positive,381,1,0.262
distance_to_road_m,background,381,0,0.0
distance_to_river_m,positive,381,1,0.262
distance_to_river_m,background,381,0,0.0
