sample_id,pair_id,label,sample_type,state,latitude,longitude,event_date,spatial_block_0p5deg,elevation_m,slope_deg,aspect_sin,aspect_cos,curvature_1_per_m,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,land_cover,ndvi_model_value,ndvi_missing,soil_moisture_surface_m3_m3,soil_moisture_7_28cm_m3_m3,soil_moisture_28_100cm_m3_m3,soil_moisture_0_100cm_m3_m3,soil_moisture_surface_3d_mean_m3_m3,soil_moisture_surface_7d_mean_m3_m3,soil_moisture_surface_anomaly_vs_7d,distance_to_road_m,distance_to_river_m
1048547,1048547,1,real_landslide_event,Assam,26.13140438,91.93086808,2004-07-15,26.0_91.5,123.35052490234376,11.829864954977326,-0.896233175294196,-0.44358324529008425,-0.0043176456475084,21.19,86.74,174.81,Tree cover,,1,0.466,0.496,0.48,0.482,0.4803333333333333,0.4781428571428571,-0.0121428571428571,163.3712012231149,4621.513730450542
1048389,1048389,1,real_landslide_event,Assam,26.16833375,91.72831667,2004-07-15,26.0_91.5,53.3612060546875,2.133673026873156,-0.9999750868149943,0.007058735676083793,0.0006252291668405,21.19,86.74,174.81,Built-up,,1,0.48,0.498,0.475,0.48,0.486,0.4838571428571428,-0.0038571428571428,46.764808154570346,287.4306830186603
1048386,1048386,1,real_landslide_event,Assam,26.16175948,91.72188533,2004-07-15,26.0_91.5,139.72340393066406,33.73951893104046,-0.7199872034807442,0.6939873390948695,0.0005809520748725,21.19,86.74,174.81,Tree cover,,1,0.48,0.498,0.475,0.48,0.486,0.4838571428571428,-0.0038571428571428,105.7795282159275,1108.1354315187589
1050630,1050630,1,real_landslide_event,Assam,26.35735036,92.82954074,2004-07-15,26.0_92.5,60.25774765014648,0.5257446344936983,0.9263016667487429,-0.3767827254247478,-0.0006518796396139,14.1,35.129999999999995,98.06,Cropland,,1,0.47,0.496,0.481,0.484,0.4763333333333333,0.4817142857142856,-0.0117142857142856,1079.3289476120965,3961.2202182011297
1050635,1050635,1,real_landslide_event,Mizoram,23.30680933,92.83619313,2004-07-29,23.0_92.5,1142.7137451171875,20.162276430346207,0.7407472000222146,-0.671783883149372,-0.0067761936100739,0.48,4.9,16.06,Tree cover,,1,0.424,0.424,0.418,0.42,0.4193333333333333,0.4208571428571429,0.0031428571428571,224.26498601973765,1331.0725926094683
938324,938324,1,real_landslide_event,Sikkim,27.16551929,88.36456702,2004-09-02,27.0_88.0,1435.585693359375,15.78688478997055,0.892014488603837,-0.4520068053921701,0.0007655628792585,16.38,40.57,134.07,Built-up,,1,0.426,0.429,0.429,0.429,0.4276666666666666,0.4264285714285715,-0.0004285714285715,6.931340849821848,527.6144404346229
1048548,1048548,1,real_landslide_event,Assam,26.13140438,91.93086808,2004-10-07,26.0_91.5,123.35052490234376,11.829864954977326,-0.896233175294196,-0.44358324529008425,-0.0043176456475084,121.78,229.02,265.58000000000004,Tree cover,,1,0.487,0.488,0.512,0.506,0.4846666666666666,0.4801428571428571,0.0068571428571428,163.3712012231149,4621.513730450542
1048377,1048377,1,real_landslide_event,Assam,26.13088435,91.71073619,2004-10-08,26.0_91.5,130.03472900390625,4.403079655411881,-0.5649508528342583,-0.8251245565863642,0.0058785430107347,24.2,234.49,289.61999999999995,Tree cover,,1,0.482,0.495,0.497,0.495,0.481,0.4847142857142857,-0.0027142857142857,55.09069599142577,1574.4811501945826
1050658,1050658,1,real_landslide_event,Mizoram,23.83655634,92.88807365,2005-08-01,23.5_92.5,405.3147583007813,14.233003191094854,0.8951336197939084,-0.44579793933423995,0.0037531504729458,0.21,1.95,16.98,Tree cover,0.8256,0,0.422,0.422,0.412,0.415,0.4196666666666666,0.4208571428571428,0.0011428571428571,1904.017513343413,3732.714155467383
1048549,1048549,1,real_landslide_event,Assam,26.13140438,91.93086808,2005-08-19,26.0_91.5,123.35052490234376,11.829864954977326,-0.896233175294196,-0.44358324529008425,-0.0043176456475084,63.62,179.61999999999998,231.20999999999995,Tree cover,,1,0.467,0.49,0.494,0.491,0.4813333333333333,0.4674285714285714,-0.0004285714285713,163.3712012231149,4621.513730450542
