event_id,state,district_or_region,locality,latitude,longitude,location_precision,location_accuracy_m,event_date,year,month,monsoon_phase,landslide_type,trigger_factor,record_type,reliability_score,fatalities,is_fatal,severity_class,injuries,description,source_url,data_source
1048547,Assam,Assam,Guwahati,26.13140438,91.93086808,Medium (2-25km),15925,2004-07-15,2004,7,Monsoon (Jun-Sep),ND,rainfall (T),event,9,5,1,Moderate (3-5),,The incident occurred around 0200 hours following incessant rains which flooded Guwahati. Unauthorized residential colonies bore the brunt of the landslides. At least eight houses were destroyed in the landslide,http://www.webindia123.com/news/m_details.asp?newscode=61739&catcode=ENG3&subcatcode=,UGLC
1048389,Assam,Assam,Santipur,26.16833375,91.72831667,High (<2km),362,2004-07-15,2004,7,Monsoon (Jun-Sep),ND,rainfall (T),event,5,1,1,Minor (1-2),,ND,http://www.rediff.com/news/2004/jul/15assam.htm,UGLC
1048386,Assam,Assam,Fatasil Ambari,26.16175948,91.72188533,High (<2km),796,2004-07-15,2004,7,Monsoon (Jun-Sep),ND,rainfall (T),event,7,3,1,Moderate (3-5),,The incident occurred around 0200 hours following incessant rains which flooded Guwahati. Unauthorized residential colonies bore the brunt of the landslides.,http://www.webindia123.com/news/m_details.asp?newscode=61739&catcode=ENG3&subcatcode=,UGLC
1050630,Assam,Assam,Assam,26.35735036,92.82954074,Low (>25km),158023,2004-07-15,2004,7,Monsoon (Jun-Sep),ND,rainfall (T),event,9,5,1,Moderate (3-5),,Reported death toll from 103-106 is now 15,http://www.indianexpress.com/full_story.php?content_id=51141,UGLC
1050635,Mizoram,Mizoram,Mizoram,23.30680933,92.83619313,Low (>25km),82247,2004-07-29,2004,7,Monsoon (Jun-Sep),ND,rainfall (T),event,9,7,1,Severe (5+),,"Seven persons, including four women and 10-month-old infant, were killed and four injured when their vehicle skidded off the road and rolled down into 300 metres-deep gorge near Serkhan village, about 45 kilometres from here, police said on Thursday.  Th","http://www.hindustantimes.com/news/181_915665,000900030003.htm",UGLC
938324,Sikkim,Sikkim,Namchi,27.16551929,88.36456702,High (<2km),1454,2004-09-02,2004,9,Monsoon (Jun-Sep),ND,rainfall (T),event,9,5,1,Moderate (3-5),,"""""GFLD"", locality: 'Namchi',"" description: """"""""Five persons were killed in landslides triggered by heavy rains in Sikkim's south district"","" a senior police officer said.""""""""""""","http://www.hindustantimes.com/news/181_985927"",000900030011.htm",UGLC
1048548,Assam,Assam,Guwahati,26.13140438,91.93086808,Medium (2-25km),15925,2004-10-07,2004,10,Post-monsoon (Oct-Nov),ND,rainfall (T),event,9,7,1,Severe (5+),,"""""GFLD"", locality: 'Guwahati',"" description: 'Seven people were buried to death Thursday in a massive landslide here following the rains. """"""""At least six people were feared killed in a landslide at Jyotikuchi hillock near Kalapahari"","" under Dispur Police Station early today as rains continued in Assam'""""",http://www.keralanext.com/news/?id=53975,UGLC
1048377,Assam,Assam,Dhirenpara,26.13088435,91.71073619,High (<2km),1844,2004-10-08,2004,10,Post-monsoon (Oct-Nov),ND,rainfall (T),event,9,6,1,Severe (5+),,Landslides killed six persons and injured two at Dhirenpara in Fatashil Ambari,http://www.123bharath.com/news/index.php?action=fullnews&id=27038,UGLC
1050658,Mizoram,Mizoram,Aizawl,23.83655634,92.88807365,Low (>25km),33154,2005-08-01,2005,8,Monsoon (Jun-Sep),ND,rainfall (T),event,9,1,1,Minor (1-2),,"Zuangtui locality, Aizawl",http://www.newkerala.com/news.php?action=fullnews&id=10909,UGLC
1048549,Assam,Assam,Guwahati,26.13140438,91.93086808,Medium (2-25km),15925,2005-08-19,2005,8,Monsoon (Jun-Sep),ND,rainfall (T),event,9,2,1,Minor (1-2),,At least two people were killed and four injured in Guwahati in a landslide in the wee hours on Friday.  Landslides are a common phenomenon during monsoon season when heavy rains lash the region.  Local administration said that they had already warned th,ND,UGLC
